eta,lmbd,epochs,batch_size,n_hidden_layers,activation_func,optimiser,training_accuracy,validation_accuracy
0.01,0.1,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.628140703517588,0.6257309941520468
0.01,0.001,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.628140703517588,0.6257309941520468
0.01,0.001,300,32,[10],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
0.01,0.001,300,32,[10],"['relu', 'sigmoid']",adam,0.628140703517588,0.6257309941520468
0.01,0.001,300,32,[10],"['relu', 'sigmoid']",adagrad,0.8793969849246231,0.847953216374269
0.01,0.001,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.9246231155778895,0.9005847953216374
0.01,0.001,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
0.01,0.001,300,32,[30],"['relu', 'sigmoid']",SGD,0.8567839195979899,0.8304093567251462
0.01,0.001,300,32,[30],"['relu', 'sigmoid']",adam,0.628140703517588,0.6257309941520468
0.01,0.001,300,32,[30],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
0.01,0.001,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.8592964824120602,0.8421052631578947
0.01,0.001,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
0.01,0.001,300,32,[50],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
0.01,0.001,300,32,[50],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532
0.01,0.001,300,32,[50],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
0.01,0.001,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.9120603015075377,0.8888888888888888
0.01,1e-05,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.6306532663316583,0.631578947368421
0.01,1e-05,300,32,[10],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
0.01,1e-05,300,32,[10],"['relu', 'sigmoid']",adam,0.6457286432160804,0.6374269005847953
0.01,1e-05,300,32,[10],"['relu', 'sigmoid']",adagrad,0.628140703517588,0.6257309941520468
0.01,1e-05,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.9396984924623115,0.8888888888888888
0.01,1e-05,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.628140703517588,0.6257309941520468
0.01,1e-05,300,32,[30],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
0.01,1e-05,300,32,[30],"['relu', 'sigmoid']",adam,0.628140703517588,0.6257309941520468
0.01,1e-05,300,32,[30],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
0.01,1e-05,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.628140703517588,0.6257309941520468
0.01,1e-05,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.628140703517588,0.6257309941520468
0.01,1e-05,300,32,[50],"['relu', 'sigmoid']",SGD,0.628140703517588,0.6257309941520468
0.01,1e-05,300,32,[50],"['relu', 'sigmoid']",adam,0.37185929648241206,0.3742690058479532
0.01,1e-05,300,32,[50],"['relu', 'sigmoid']",adagrad,0.8994974874371859,0.847953216374269
0.01,1e-05,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.37185929648241206,0.3742690058479532
0.001,0.1,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.628140703517588,0.6257309941520468
0.001,0.1,300,32,[10],"['relu', 'sigmoid']",SGD,0.628140703517588,0.6257309941520468
0.001,0.1,300,32,[10],"['relu', 'sigmoid']",adam,0.9120603015075377,0.8888888888888888
0.001,0.1,300,32,[10],"['relu', 'sigmoid']",adagrad,0.628140703517588,0.6257309941520468
0.001,0.1,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.914572864321608,0.8830409356725146
0.001,0.1,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.37185929648241206,0.3742690058479532
0.001,0.1,300,32,[30],"['relu', 'sigmoid']",SGD,0.37185929648241206,0.3742690058479532
0.001,0.1,300,32,[30],"['relu', 'sigmoid']",adam,0.628140703517588,0.6257309941520468
0.001,0.1,300,32,[30],"['relu', 'sigmoid']",adagrad,0.37185929648241206,0.3742690058479532
