eta,lmbd,epochs,batch_size,n_hidden_layers,activation_func,optimiser,training_accuracy,validation_accuracy
0.01,0.1,300,32,[30],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
0.01,0.1,300,32,[30],"['relu', 'sigmoid']",adam,0.9809523809523809,0.9777777777777777
0.01,0.1,300,32,[30],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3333333333333333
0.01,0.1,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.9238095238095239,0.9555555555555556
0.01,0.1,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.6666666666666666,0.6666666666666666
0.01,0.1,300,32,[50],"['relu', 'sigmoid']",SGD,0.6571428571428571,0.6444444444444445
0.01,0.1,300,32,[50],"['relu', 'sigmoid']",adam,0.9809523809523809,0.9555555555555556
0.01,0.1,300,32,[50],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3333333333333333
0.01,0.1,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.9809523809523809,0.9777777777777777
0.01,0.001,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
0.01,0.001,300,32,[10],"['relu', 'sigmoid']",SGD,0.638095238095238,0.6444444444444445
0.01,0.001,300,32,[10],"['relu', 'sigmoid']",adam,0.6666666666666666,0.6666666666666666
0.01,0.001,300,32,[10],"['relu', 'sigmoid']",adagrad,0.9047619047619048,0.9333333333333333
0.01,0.001,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.9809523809523809,0.9777777777777777
0.01,0.001,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
0.01,0.001,300,32,[30],"['relu', 'sigmoid']",SGD,0.6666666666666666,0.6666666666666666
0.01,0.001,300,32,[30],"['relu', 'sigmoid']",adam,0.6666666666666666,0.6666666666666666
0.01,0.001,300,32,[30],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3333333333333333
0.01,0.001,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.9809523809523809,0.9777777777777777
0.01,0.001,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.35555555555555557
